subject	total	semester
01.500	281	20091
01.500	322	20101
01.500	192	20112
01.500	308	20121
01.500	168	20132
01.501	50	20092
01.501	160	20102
01.501	191	20111
01.501	166	20122
01.501	139	20131
01.502	135	20091
01.502	362	20101
01.502	302	20112
01.502	367	20121
01.502	186	20132
01.503	140	20092
01.503	287	20102
01.503	296	20111
01.503	270	20122
01.503	254	20131
01.504	48	20091
01.504	308	20101
01.504	352	20112
01.504	308	20121
01.504	240	20132
01.505	300	20092
01.505	525	20102
01.505	688	20111
01.505	439	20122
01.505	495	20131
01.506	131	20091
01.506	302	20101
01.506	273	20112
01.506	269	20121
01.506	218	20132
01.507	172	20092
01.507	234	20102
01.507	409	20111
01.507	189	20122
01.507	320	20131
01.508	11	20091
01.508	201	20101
01.508	292	20112
01.508	263	20121
01.508	168	20132
01.509	74	20092
01.509	145	20102
01.509	151	20111
01.509	166	20122
01.509	193	20131
01.510	22	20092
01.510	90	20102
01.510	170	20111
01.510	236	20122
01.510	188	20131
01.511	140	20112
01.511	170	20121
01.511	227	20132
01.512	171	20102
01.512	219	20111
01.512	289	20122
01.512	270	20131
01.513	9	20091
01.513	45	20101
01.513	155	20112
01.513	206	20121
01.513	244	20132
01.514	21	20092
01.514	56	20102
01.514	63	20111
01.514	200	20122
01.514	201	20131
01.515	54	20101
01.515	178	20112
01.515	189	20121
01.515	196	20132
01.516	25	20092
01.516	112	20102
01.516	109	20111
01.516	148	20122
01.516	167	20131
01.517	18	20091
01.517	77	20101
01.517	227	20112
01.517	252	20121
01.517	287	20132
01.518	14	20092
01.518	22	20102
01.518	142	20111
01.518	235	20122
01.518	182	20131
01.519	107	20101
01.519	246	20112
01.519	274	20121
01.519	203	20132
01.520	18	20091
01.520	74	20101
01.520	175	20112
01.520	163	20121
01.520	162	20132
01.521	52	20092
01.521	117	20102
01.521	224	20111
01.521	339	20122
01.521	347	20131
01.522	14	20101
01.522	86	20112
01.522	94	20121
01.522	121	20132
01.523	13	20092
01.523	56	20102
01.523	104	20111
01.523	192	20122
01.523	183	20131
01.524	19	20101
01.524	55	20112
01.524	100	20121
01.524	147	20132
01.525	24	20111
01.525	99	20122
01.525	137	20131
01.526	54	20101
01.526	162	20112
01.526	214	20121
01.526	198	20132
01.527	4	20092
01.527	15	20102
01.527	50	20111
01.527	157	20122
01.527	162	20131
01.528	51	20101
01.528	104	20112
01.528	146	20121
01.528	177	20132
01.529	28	20092
01.529	141	20102
01.529	173	20111
01.529	257	20122
01.529	216	20131
01.530	12	20092
01.530	54	20102
01.530	94	20111
01.530	160	20122
01.530	155	20131
01.531	14	20112
01.531	67	20132
01.532	63	20122
01.533	28	20112
01.533	53	20132
01.534	29	20102
01.534	34	20111
01.534	106	20131
01.535	4	20101
01.535	79	20121
01.536	106	20131
01.537	4	20101
01.537	22	20112
01.537	15	20121
01.537	37	20132
01.538	95	20131
01.539	19	20112
01.539	24	20121
01.540	13	20112
01.540	30	20132
01.541	28	20122
01.542	62	20121
01.543	6	20102
01.543	16	20111
01.543	52	20131
01.544	80	20112
01.544	56	20121
01.545	15	20111
01.545	34	20131
01.546	137	20132
01.547	11	20102
01.547	24	20122
01.548	76	20132
01.549	22	20111
01.549	48	20131
01.550	4	20092
01.550	14	20102
01.550	79	20122
01.551	14	20132
01.552	5	20092
01.552	37	20111
01.552	111	20131
01.553	9	20132
01.554	9	20092
01.554	33	20111
01.554	43	20131
01.555	16	20132
01.556	52	20122
01.557	28	20112
01.557	57	20132
