subject	total	semester
01.500	441	20091
01.500	516	20101
01.500	345	20112
01.500	493	20121
01.500	279	20132
01.500	415	20141
01.501	104	20092
01.501	332	20102
01.501	422	20111
01.501	368	20122
01.501	398	20131
01.502	228	20091
01.502	466	20101
01.502	412	20112
01.502	492	20121
01.502	289	20132
01.502	378	20141
01.503	200	20092
01.503	403	20102
01.503	414	20111
01.503	384	20122
01.503	367	20131
01.504	61	20091
01.504	363	20101
01.504	439	20112
01.504	391	20121
01.504	311	20132
01.504	306	20141
01.505	397	20092
01.505	645	20102
01.505	835	20111
01.505	560	20122
01.505	667	20131
01.506	184	20091
01.506	455	20101
01.506	404	20112
01.506	458	20121
01.506	320	20132
01.506	455	20141
01.507	257	20092
01.507	336	20102
01.507	562	20111
01.507	255	20122
01.507	438	20131
01.508	16	20091
01.508	242	20101
01.508	389	20112
01.508	352	20121
01.508	260	20132
01.508	262	20141
01.509	112	20092
01.509	218	20102
01.509	233	20111
01.509	249	20122
01.509	305	20131
01.510	31	20092
01.510	130	20102
01.510	234	20111
01.510	284	20122
01.510	280	20131
01.511	162	20112
01.511	206	20121
01.511	303	20132
01.511	285	20141
01.512	198	20102
01.512	252	20111
01.512	339	20122
01.512	339	20131
01.513	10	20091
01.513	48	20101
01.513	161	20112
01.513	232	20121
01.513	276	20132
01.513	272	20141
01.514	42	20092
01.514	68	20102
01.514	90	20111
01.514	271	20122
01.514	274	20131
01.515	59	20101
01.515	213	20112
01.515	261	20121
01.515	304	20132
01.515	306	20141
01.516	51	20092
01.516	176	20102
01.516	204	20111
01.516	252	20122
01.516	309	20131
01.517	24	20091
01.517	93	20101
01.517	250	20112
01.517	288	20121
01.517	322	20132
01.517	302	20141
01.518	23	20092
01.518	40	20102
01.518	229	20111
01.518	306	20122
01.518	294	20131
01.519	134	20101
01.519	284	20112
01.519	322	20121
01.519	260	20132
01.519	305	20141
01.520	49	20091
01.520	112	20101
01.520	216	20112
01.520	204	20121
01.520	199	20132
01.520	209	20141
01.521	74	20092
01.521	145	20102
01.521	255	20111
01.521	384	20122
01.521	422	20131
01.522	24	20101
01.522	130	20112
01.522	161	20121
01.522	209	20132
01.522	233	20141
01.523	20	20092
01.523	76	20102
01.523	148	20111
01.523	260	20122
01.523	265	20131
01.524	33	20101
01.524	90	20112
01.524	137	20121
01.524	202	20132
01.524	245	20141
01.525	42	20111
01.525	130	20122
01.525	182	20131
01.526	69	20101
01.526	228	20112
01.526	297	20121
01.526	306	20132
01.526	317	20141
01.527	9	20092
01.527	31	20102
01.527	67	20111
01.527	193	20122
01.527	229	20131
01.528	71	20101
01.528	141	20112
01.528	206	20121
01.528	255	20132
01.528	299	20141
01.529	37	20092
01.529	157	20102
01.529	201	20111
01.529	301	20122
01.529	271	20131
01.530	14	20092
01.530	60	20102
01.530	110	20111
01.530	185	20122
01.530	177	20131
01.531	14	20112
01.531	83	20132
01.532	72	20122
01.533	30	20112
01.533	55	20132
01.534	33	20102
01.534	38	20111
01.534	119	20131
01.535	12	20101
01.535	90	20121
01.535	98	20141
01.536	117	20131
01.537	7	20101
01.537	26	20112
01.537	28	20121
01.537	50	20132
01.537	36	20141
01.538	102	20131
01.539	22	20112
01.539	32	20121
01.539	65	20141
01.540	16	20112
01.540	43	20132
01.541	30	20122
01.542	78	20121
01.542	144	20141
01.543	6	20102
01.543	18	20111
01.543	58	20131
01.544	82	20112
01.544	57	20121
01.544	110	20141
01.545	27	20111
01.545	45	20131
01.546	156	20132
01.547	14	20102
01.547	43	20122
01.548	88	20132
01.549	33	20111
01.549	58	20131
01.550	9	20092
01.550	17	20102
01.550	86	20122
01.551	20	20132
01.552	7	20092
01.552	45	20111
01.552	116	20131
01.553	10	20132
01.554	14	20092
01.554	44	20111
01.554	52	20131
01.555	27	20132
01.556	56	20122
01.557	32	20112
01.557	67	20132
01.558	1	20122
01.558	4	20131
01.559	51	20121
01.559	60	20141
01.560	3	20132
01.560	3	20141
01.561	31	20102
01.561	34	20111
01.561	80	20131
01.562	4	20101
01.570	18	20102
01.570	30	20111
01.570	77	20122
01.570	101	20131
02.500	213	20092
02.500	326	20102
02.500	375	20111
02.500	167	20122
02.500	215	20131
02.501	213	20091
02.501	325	20101
02.501	221	20112
02.501	253	20121
02.501	163	20132
02.501	244	20141
02.502	85	20092
02.502	184	20102
02.502	222	20111
02.502	143	20122
02.502	140	20131
02.503	135	20101
02.503	232	20112
02.503	202	20121
02.503	150	20132
02.503	208	20141
02.504	54	20092
02.504	95	20102
02.504	152	20111
02.504	94	20122
02.504	88	20131
02.505	229	20091
02.505	289	20101
02.505	268	20112
02.505	261	20121
02.505	188	20132
02.505	119	20141
02.506	206	20092
02.506	285	20102
02.506	364	20111
02.506	181	20122
02.506	279	20131
02.507	61	20101
02.507	59	20112
02.507	83	20121
02.507	97	20132
02.507	109	20141
02.508	24	20102
02.508	30	20111
02.508	59	20122
02.508	52	20131
02.509	443	20091
02.509	455	20101
02.509	195	20112
02.509	327	20121
02.509	132	20132
02.509	294	20141
02.510	52	20101
02.510	112	20112
02.510	139	20121
02.510	171	20141
02.511	72	20111
02.511	187	20131
02.512	46	20112
02.512	80	20121
02.512	129	20141
02.513	63	20092
02.513	157	20102
02.513	172	20111
02.513	138	20122
02.513	127	20131
02.514	61	20112
02.514	236	20132
02.515	139	20102
02.515	153	20111
02.515	251	20122
02.516	69	20101
02.516	148	20112
02.516	266	20132
02.517	229	20122
02.517	123	20131
02.518	78	20112
02.518	192	20132
02.519	78	20102
02.519	123	20111
02.519	279	20131
02.520	138	20092
02.520	168	20102
02.520	241	20111
02.520	186	20122
02.520	151	20131
02.521	45	20112
02.521	113	20121
02.521	162	20141
02.522	140	20122
02.522	127	20131
02.523	131	20112
02.523	182	20121
02.523	273	20141
02.524	94	20122
02.524	86	20131
02.525	53	20112
02.525	115	20121
02.525	100	20141
02.526	125	20092
02.526	102	20102
02.526	127	20111
02.526	219	20131
02.527	78	20112
02.527	157	20132
02.528	76	20111
02.528	196	20131
02.529	101	20121
02.529	192	20132
02.530	62	20112
02.530	136	20121
02.530	227	20141
02.531	13	20122
02.532	13	20121
02.532	55	20132
02.533	30	20131
02.534	27	20121
02.534	42	20141
02.535	23	20122
02.536	30	20141
02.537	36	20122
02.538	32	20132
02.539	25	20131
02.540	28	20131
02.541	56	20121
02.541	90	20141
02.542	90	20122
02.543	61	20132
02.544	105	20131
02.545	39	20112
02.545	45	20121
02.545	95	20132
02.545	116	20141
02.546	19	20122
02.546	47	20131
02.547	58	20132
02.547	73	20141
02.548	16	20122
02.548	26	20131
02.549	15	20101
02.549	9	20112
02.549	12	20121
02.549	6	20132
02.549	7	20141
02.550	7	20112
02.550	6	20121
02.550	11	20132
02.550	7	20141
03.500	84	20082
03.500	84	20091
03.500	80	20101
03.500	119	20112
03.500	112	20121
03.500	140	20132
03.500	142	20141
03.501	24	20092
03.501	48	20102
03.501	64	20111
03.501	66	20122
03.501	110	20131
03.502	15	20082
03.502	16	20091
03.502	16	20101
03.502	15	20112
03.502	18	20121
03.502	13	20132
03.502	21	20141
03.503	6	20092
03.503	9	20102
03.503	9	20111
03.503	19	20122
03.503	10	20131
03.504	205	20082
03.504	354	20091
03.504	303	20101
03.504	219	20112
03.504	391	20121
03.504	180	20132
03.504	336	20141
03.505	241	20092
03.505	259	20102
03.505	246	20111
03.505	255	20122
03.505	208	20131
03.506	111	20082
03.506	105	20091
03.506	148	20101
03.506	184	20112
03.506	141	20121
03.506	162	20132
03.506	155	20141
03.507	184	20081
03.507	240	20092
03.507	248	20102
03.507	396	20111
03.507	215	20122
03.507	279	20131
03.508	292	20082
03.508	396	20091
03.508	317	20101
03.508	214	20112
03.508	368	20121
03.508	152	20132
03.508	279	20141
03.509	196	20081
03.509	219	20092
03.509	267	20102
03.509	344	20111
03.509	214	20122
03.509	306	20131
03.510	133	20081
03.510	297	20092
03.510	302	20102
03.510	327	20111
03.510	207	20122
03.510	274	20131
03.511	102	20082
03.511	213	20091
03.511	252	20101
03.511	397	20112
03.511	317	20121
03.511	278	20132
03.511	286	20141
03.512	148	20092
03.512	186	20102
03.512	270	20111
03.512	259	20122
03.512	295	20131
03.513	17	20091
03.513	105	20101
03.513	191	20112
